,gender,race,g1freelunch,birthdate,z,y
2211,2.0,1.0,2.0,1980-05-28,1.0,604.6666666666666
302,1.0,2.0,1.0,1979-12-15,0.0,590.0
3878,2.0,1.0,1.0,1980-02-20,0.0,565.6666666666666
3106,2.0,2.0,1.0,1980-04-30,0.0,478.0
3149,2.0,2.0,1.0,1980-03-30,0.0,484.3333333333333
2242,1.0,1.0,2.0,1980-04-29,0.0,562.3333333333334
2842,2.0,1.0,1.0,1980-07-07,1.0,546.3333333333334
2428,1.0,1.0,2.0,1980-06-14,0.0,570.3333333333334
3609,2.0,2.0,1.0,1980-08-12,0.0,502.3333333333333
2024,1.0,1.0,1.0,1980-04-04,0.0,477.3333333333333
2577,1.0,1.0,2.0,1980-07-08,1.0,524.6666666666666
825,2.0,1.0,2.0,1979-10-23,1.0,571.6666666666666
2947,1.0,2.0,1.0,1980-09-18,1.0,503.0
1154,1.0,1.0,1.0,1980-01-13,1.0,510.6666666666667
3757,2.0,1.0,1.0,1979-06-01,0.0,560.6666666666666
790,2.0,1.0,,1979-11-07,1.0,589.3333333333334
1075,1.0,1.0,2.0,1979-01-03,1.0,566.6666666666666
1626,1.0,1.0,2.0,1980-02-25,0.0,507.3333333333333
2613,1.0,1.0,2.0,1980-07-18,1.0,541.0
834,2.0,1.0,1.0,1979-11-15,0.0,524.0
1888,2.0,1.0,2.0,1980-03-22,0.0,553.6666666666666
3533,2.0,2.0,1.0,1979-11-10,0.0,528.6666666666666
2937,1.0,1.0,1.0,1980-09-13,1.0,499.0
1326,1.0,1.0,,1980-01-27,1.0,534.6666666666666
1060,2.0,1.0,1.0,1979-11-22,1.0,523.3333333333334
1386,2.0,2.0,1.0,1980-03-24,1.0,512.6666666666666
2421,1.0,1.0,2.0,1980-06-25,0.0,602.6666666666666
2642,2.0,2.0,1.0,1980-07-09,0.0,506.3333333333333
3873,1.0,1.0,2.0,1980-06-03,0.0,521.6666666666666
1501,1.0,1.0,2.0,1980-02-25,0.0,502.0
3147,2.0,2.0,1.0,1980-02-22,0.0,558.0
298,2.0,1.0,2.0,1979-12-21,1.0,594.3333333333334
2545,1.0,1.0,2.0,1980-06-12,1.0,567.3333333333334
913,2.0,1.0,2.0,1979-12-13,1.0,561.3333333333334
2146,1.0,1.0,1.0,1980-05-28,1.0,622.0
3076,2.0,2.0,1.0,1980-10-17,1.0,490.3333333333333
2976,1.0,2.0,1.0,1980-05-15,0.0,479.3333333333333
1265,1.0,1.0,2.0,1980-01-02,0.0,620.3333333333334
3366,1.0,1.0,2.0,1980-07-14,0.0,531.6666666666666
503,1.0,1.0,1.0,1979-07-13,0.0,525.6666666666666
3720,2.0,1.0,1.0,1979-11-05,1.0,572.3333333333334
3017,2.0,2.0,1.0,1980-09-24,1.0,499.3333333333333
2387,1.0,1.0,2.0,1980-06-13,1.0,621.0
1455,2.0,2.0,1.0,1980-04-26,0.0,516.0
4004,2.0,1.0,1.0,1980-07-22,1.0,586.3333333333334
361,1.0,2.0,1.0,1979-11-02,0.0,537.0
3531,1.0,2.0,1.0,1979-11-06,1.0,549.0
4160,2.0,1.0,1.0,1980-09-30,1.0,545.6666666666666
3857,1.0,1.0,2.0,1980-07-12,0.0,573.6666666666666
1063,2.0,2.0,1.0,1979-11-03,1.0,548.6666666666666
1014,2.0,1.0,1.0,1979-12-10,0.0,559.6666666666666
1849,2.0,2.0,1.0,1980-09-19,0.0,491.3333333333333
1545,1.0,1.0,2.0,1980-01-10,1.0,513.6666666666666
365,1.0,2.0,1.0,1979-11-06,1.0,553.3333333333334
1769,2.0,1.0,2.0,1980-03-05,1.0,499.6666666666667
4054,2.0,1.0,2.0,1979-12-31,1.0,638.3333333333334
3464,1.0,1.0,2.0,1980-01-21,1.0,617.0
3804,1.0,3.0,1.0,1980-01-21,0.0,526.0
1929,2.0,2.0,1.0,1980-03-27,1.0,536.3333333333334
1216,2.0,1.0,1.0,1980-03-25,0.0,538.6666666666666
2669,1.0,1.0,1.0,1980-07-23,0.0,506.3333333333333
3810,2.0,2.0,1.0,1979-01-30,0.0,501.0
844,2.0,1.0,2.0,1979-11-18,1.0,585.0
3552,1.0,2.0,1.0,1980-01-06,0.0,493.0
3689,2.0,1.0,1.0,1980-04-11,0.0,532.0
2610,2.0,1.0,1.0,1980-07-17,0.0,551.0
1819,2.0,1.0,2.0,1980-03-17,0.0,576.0
3977,2.0,2.0,1.0,1978-12-27,0.0,489.0
1200,1.0,2.0,1.0,1980-03-12,0.0,540.3333333333334
2862,2.0,1.0,2.0,1980-09-25,1.0,589.3333333333334
3157,2.0,1.0,2.0,1980-09-28,0.0,569.6666666666666
1422,2.0,1.0,2.0,1980-01-01,0.0,631.6666666666666
2815,2.0,2.0,1.0,1980-08-15,0.0,544.3333333333334
1560,1.0,2.0,1.0,1980-06-13,1.0,494.3333333333333
1718,2.0,2.0,1.0,1980-08-07,0.0,497.6666666666667
3523,2.0,2.0,1.0,1980-07-04,0.0,484.3333333333333
940,2.0,1.0,2.0,1979-12-13,1.0,629.6666666666666
2467,1.0,1.0,2.0,1980-06-10,0.0,559.0
1449,1.0,1.0,2.0,1980-02-15,1.0,558.3333333333334
2235,1.0,1.0,2.0,1980-05-20,1.0,589.0
1889,2.0,1.0,1.0,1980-04-07,1.0,478.3333333333333
3920,1.0,2.0,1.0,1979-09-12,0.0,484.0
611,1.0,1.0,2.0,1979-09-01,0.0,581.3333333333334
3618,1.0,1.0,2.0,1980-09-22,1.0,571.6666666666666
1507,1.0,2.0,2.0,1980-05-16,0.0,564.6666666666666
3539,2.0,2.0,1.0,1979-12-09,0.0,523.0
4190,1.0,1.0,2.0,1980-06-09,1.0,496.6666666666667
2473,1.0,1.0,2.0,1980-06-04,0.0,622.6666666666666
3419,2.0,1.0,1.0,1979-04-13,1.0,509.3333333333333
2594,1.0,1.0,1.0,1980-07-06,1.0,492.6666666666667
1862,2.0,2.0,2.0,1980-09-25,1.0,509.0
2412,1.0,1.0,2.0,1980-06-01,0.0,630.6666666666666
687,1.0,1.0,2.0,1979-10-18,0.0,589.0
1462,2.0,2.0,1.0,1980-04-30,0.0,506.3333333333333
548,2.0,1.0,2.0,1979-08-09,0.0,564.6666666666666
3756,2.0,1.0,2.0,1979-12-15,1.0,545.6666666666666
1521,2.0,1.0,1.0,1980-02-15,1.0,634.3333333333334
2694,2.0,1.0,1.0,1980-07-27,1.0,613.0
3623,2.0,1.0,2.0,1980-02-02,0.0,518.0
3107,2.0,2.0,1.0,1980-04-22,1.0,530.3333333333334
3262,2.0,1.0,2.0,1980-09-26,0.0,571.6666666666666
3009,2.0,1.0,2.0,1980-09-26,1.0,519.0
1007,1.0,1.0,2.0,1979-12-06,1.0,590.0
2608,1.0,1.0,2.0,1980-07-11,0.0,542.3333333333334
1748,1.0,1.0,2.0,1980-02-01,1.0,602.6666666666666
2877,1.0,2.0,2.0,1980-09-21,0.0,555.3333333333334
998,2.0,1.0,2.0,1979-11-04,0.0,510.3333333333333
1322,1.0,2.0,1.0,1980-03-05,1.0,546.3333333333334
1830,1.0,1.0,1.0,1980-03-02,0.0,602.6666666666666
1950,1.0,1.0,1.0,1980-04-06,0.0,495.3333333333333
1012,2.0,1.0,2.0,1979-12-29,1.0,499.3333333333333
3899,2.0,2.0,1.0,1978-09-21,0.0,490.6666666666667
3890,1.0,2.0,1.0,1978-12-25,1.0,495.0
3311,1.0,2.0,1.0,1980-04-16,0.0,488.0
933,1.0,1.0,1.0,1979-11-28,0.0,496.3333333333333
1080,2.0,2.0,1.0,1979-12-08,0.0,523.0
3409,1.0,1.0,1.0,1978-10-04,0.0,499.3333333333333
2252,1.0,1.0,2.0,1980-05-15,0.0,507.0
3704,2.0,1.0,1.0,1980-08-16,1.0,592.6666666666666
3844,1.0,1.0,1.0,1980-03-10,1.0,530.0
2537,2.0,1.0,2.0,1980-07-25,0.0,583.0
829,2.0,1.0,2.0,1979-11-28,0.0,580.3333333333334
3875,1.0,1.0,,1980-03-18,0.0,594.3333333333334
500,1.0,1.0,1.0,1979-07-24,0.0,507.6666666666667
607,1.0,1.0,2.0,1979-09-25,0.0,579.3333333333334
1711,2.0,1.0,2.0,1980-01-17,1.0,578.0
2029,1.0,1.0,1.0,1980-04-13,1.0,596.6666666666666
1105,2.0,1.0,1.0,1979-08-30,0.0,517.3333333333334
2228,1.0,1.0,2.0,1980-05-11,0.0,493.3333333333333
2593,1.0,1.0,,1980-06-20,0.0,485.3333333333333
916,2.0,1.0,1.0,1979-12-13,1.0,516.3333333333334
3319,2.0,1.0,,1980-09-01,0.0,501.0
3393,2.0,2.0,2.0,1980-05-01,1.0,492.3333333333333
1198,1.0,2.0,1.0,1980-01-18,1.0,531.0
694,1.0,1.0,2.0,1979-10-28,0.0,563.6666666666666
3139,2.0,2.0,1.0,1980-08-13,1.0,568.6666666666666
1183,2.0,2.0,1.0,1980-02-24,1.0,526.0
149,1.0,1.0,1.0,1978-11-28,0.0,566.6666666666666
572,1.0,1.0,1.0,1979-09-11,0.0,557.6666666666666
1955,1.0,1.0,2.0,1980-05-08,1.0,608.3333333333334
1777,2.0,1.0,2.0,1980-03-19,0.0,571.6666666666666
542,2.0,2.0,1.0,1979-08-17,0.0,481.3333333333333
2662,2.0,1.0,2.0,1980-07-23,0.0,568.0
2578,2.0,1.0,2.0,1980-07-18,1.0,537.3333333333334
4201,1.0,1.0,1.0,1980-01-05,0.0,559.6666666666666
3316,2.0,1.0,,1979-12-19,0.0,510.6666666666667
2120,2.0,2.0,1.0,1980-01-02,1.0,489.3333333333333
1805,2.0,1.0,2.0,1980-03-22,1.0,520.6666666666666
3973,2.0,2.0,1.0,1980-06-30,1.0,520.3333333333334
3583,1.0,2.0,1.0,1980-03-06,1.0,539.0
2058,1.0,2.0,2.0,1980-03-06,0.0,540.0
2419,2.0,2.0,,1980-06-16,1.0,532.0
2870,1.0,1.0,2.0,1980-09-11,1.0,489.3333333333333
1776,1.0,1.0,1.0,1980-03-11,1.0,541.6666666666666
2224,1.0,1.0,2.0,1980-05-29,0.0,605.6666666666666
1625,1.0,1.0,1.0,1980-02-22,0.0,532.0
3745,2.0,1.0,1.0,1978-07-30,0.0,547.6666666666666
17,1.0,1.0,2.0,1980-09-27,0.0,523.3333333333334
231,2.0,2.0,1.0,1979-12-11,0.0,458.3333333333333
337,1.0,2.0,1.0,1979-07-31,0.0,475.6666666666667
2894,2.0,1.0,1.0,1980-08-28,0.0,491.0
1793,2.0,1.0,2.0,1980-03-14,0.0,529.3333333333334
2464,1.0,2.0,1.0,1980-02-29,1.0,512.0
1391,2.0,2.0,2.0,1980-01-12,0.0,553.6666666666666
2063,2.0,1.0,2.0,1980-03-31,0.0,557.0
3176,2.0,1.0,2.0,1980-02-12,0.0,529.3333333333334
3585,2.0,2.0,1.0,1980-04-08,1.0,548.6666666666666
2280,2.0,1.0,2.0,1980-04-15,1.0,585.6666666666666
3433,2.0,1.0,,1980-08-05,1.0,554.0
1072,1.0,1.0,1.0,1979-04-23,0.0,481.6666666666667
3872,1.0,1.0,1.0,1980-03-20,0.0,590.0
2103,2.0,2.0,1.0,1980-04-08,0.0,483.3333333333333
3665,2.0,2.0,1.0,1980-09-11,0.0,474.6666666666667
883,2.0,1.0,2.0,1979-12-18,1.0,531.3333333333334
3298,1.0,1.0,1.0,1978-10-03,0.0,504.3333333333333
2768,1.0,1.0,1.0,1980-08-18,1.0,549.0
3813,1.0,1.0,2.0,1978-10-08,0.0,557.6666666666666
2116,1.0,2.0,2.0,1980-03-29,0.0,503.0
3487,1.0,1.0,2.0,1980-08-11,1.0,521.0
3320,2.0,2.0,1.0,1978-02-09,0.0,505.3333333333333
3033,1.0,1.0,2.0,1980-09-04,1.0,544.0
3061,2.0,2.0,1.0,1980-01-04,0.0,516.0
2579,2.0,1.0,2.0,1980-07-22,1.0,500.0
3632,1.0,6.0,1.0,1979-10-19,1.0,529.0
2023,1.0,1.0,1.0,1980-04-17,0.0,519.6666666666666
1291,1.0,1.0,,1980-01-28,0.0,552.3333333333334
3657,1.0,2.0,1.0,1980-03-19,1.0,567.3333333333334
1536,1.0,1.0,2.0,1980-02-07,0.0,557.0
3116,2.0,1.0,1.0,1980-08-10,1.0,532.6666666666666
3996,1.0,2.0,1.0,1979-04-10,0.0,508.6666666666667
4211,1.0,1.0,2.0,1979-08-19,0.0,552.0
682,1.0,1.0,2.0,1979-10-03,1.0,604.0
1829,1.0,1.0,2.0,1980-03-01,0.0,522.3333333333334
2555,2.0,1.0,2.0,1980-07-17,0.0,562.0
633,2.0,1.0,2.0,1979-11-04,1.0,632.0
1692,2.0,2.0,1.0,1980-07-28,1.0,523.3333333333334
2941,1.0,1.0,2.0,1980-08-14,1.0,597.3333333333334
1395,2.0,1.0,2.0,1980-01-17,0.0,600.0
2156,2.0,1.0,2.0,1980-05-30,0.0,606.3333333333334
1677,1.0,2.0,1.0,1980-07-21,1.0,482.3333333333333
685,1.0,1.0,2.0,1979-11-28,0.0,532.3333333333334
331,1.0,2.0,1.0,1979-07-20,0.0,511.6666666666667
263,1.0,2.0,1.0,1979-11-28,0.0,572.6666666666666
3093,1.0,2.0,1.0,1980-08-28,1.0,521.6666666666666
1555,2.0,1.0,2.0,1980-01-17,1.0,594.3333333333334
707,1.0,1.0,2.0,1979-11-11,1.0,633.6666666666666
3437,1.0,1.0,1.0,1978-07-25,0.0,488.0
3567,2.0,2.0,1.0,1980-03-08,1.0,522.0
1059,1.0,2.0,1.0,1979-11-19,1.0,494.0
3220,1.0,2.0,2.0,1980-01-30,0.0,495.6666666666667
3862,2.0,1.0,1.0,1980-08-23,0.0,546.6666666666666
2276,2.0,1.0,1.0,1980-05-27,1.0,523.3333333333334
411,1.0,2.0,2.0,1979-12-22,1.0,495.0
739,2.0,1.0,2.0,1979-11-20,0.0,606.3333333333334
2743,1.0,2.0,1.0,1980-08-03,1.0,501.3333333333333
3713,1.0,1.0,1.0,1980-08-18,0.0,502.6666666666667
1594,2.0,1.0,2.0,1980-02-03,0.0,524.3333333333334
485,1.0,1.0,1.0,1979-07-24,0.0,524.0
1294,1.0,1.0,1.0,1980-01-04,0.0,579.6666666666666
2670,2.0,1.0,1.0,1980-07-29,0.0,520.0
4074,2.0,1.0,1.0,1979-07-04,0.0,550.0
3465,1.0,1.0,2.0,1980-01-22,1.0,578.0
894,1.0,2.0,1.0,1979-11-29,0.0,480.6666666666667
2465,1.0,1.0,2.0,1980-06-04,1.0,605.6666666666666
1623,1.0,1.0,2.0,1980-02-16,1.0,597.0
3761,2.0,1.0,2.0,1980-05-27,1.0,513.6666666666666
3053,1.0,2.0,1.0,1980-06-23,0.0,507.0
1973,2.0,2.0,1.0,1979-12-15,0.0,511.0
1057,1.0,1.0,1.0,1979-11-24,0.0,479.0
2828,1.0,1.0,2.0,1980-08-13,0.0,487.6666666666667
83,2.0,2.0,1.0,1980-03-04,0.0,505.3333333333333
438,1.0,1.0,1.0,1979-03-16,0.0,565.0
2655,1.0,2.0,1.0,1980-06-27,0.0,545.6666666666666
120,2.0,2.0,1.0,1979-05-30,0.0,509.3333333333333
3052,1.0,2.0,1.0,1980-07-21,0.0,479.3333333333333
1930,1.0,2.0,1.0,1980-09-22,1.0,547.0
3466,1.0,2.0,1.0,1980-01-28,0.0,492.0
3597,2.0,1.0,1.0,1979-02-01,0.0,499.0
2930,2.0,1.0,2.0,1980-09-17,0.0,562.3333333333334
2047,2.0,1.0,2.0,1980-04-01,1.0,579.6666666666666
3471,1.0,2.0,1.0,1980-05-05,1.0,526.0
3016,1.0,2.0,1.0,1980-09-20,0.0,510.0
509,2.0,1.0,2.0,1980-09-08,0.0,537.3333333333334
2557,2.0,2.0,1.0,1980-07-31,1.0,508.6666666666667
2454,2.0,2.0,1.0,1980-05-20,1.0,495.6666666666667
1312,2.0,2.0,1.0,1980-01-06,0.0,570.3333333333334
4103,2.0,1.0,1.0,1980-07-26,0.0,565.6666666666666
2926,2.0,1.0,1.0,1980-09-07,1.0,604.0
3485,2.0,2.0,1.0,1980-07-01,1.0,556.3333333333334
788,2.0,1.0,2.0,1979-11-06,1.0,554.6666666666666
3794,1.0,2.0,1.0,1979-04-13,1.0,538.0
3073,2.0,2.0,1.0,1980-01-30,0.0,521.3333333333334
3723,2.0,1.0,2.0,1979-12-15,0.0,566.3333333333334
3619,1.0,2.0,1.0,1980-01-09,1.0,583.6666666666666
1585,1.0,1.0,1.0,1980-06-25,0.0,544.6666666666666
558,1.0,1.0,1.0,1979-09-09,0.0,526.0
2612,1.0,1.0,1.0,1980-07-02,1.0,590.0
1799,2.0,2.0,1.0,1980-09-03,1.0,512.0
3197,1.0,2.0,1.0,1980-02-04,0.0,527.6666666666666
3041,2.0,2.0,2.0,1980-06-03,0.0,503.0
496,1.0,1.0,1.0,1979-07-01,0.0,537.0
3675,2.0,1.0,,1980-06-21,1.0,587.6666666666666
1317,1.0,1.0,2.0,1980-11-17,1.0,532.3333333333334
1418,1.0,1.0,2.0,1980-02-22,1.0,494.0
1103,2.0,2.0,1.0,1979-11-04,1.0,556.6666666666666
2810,2.0,2.0,1.0,1980-08-10,1.0,525.3333333333334
4215,2.0,1.0,1.0,1980-03-21,0.0,529.3333333333334
1279,2.0,2.0,1.0,1980-02-24,1.0,504.3333333333333
789,2.0,1.0,1.0,1979-11-07,1.0,605.0
3858,2.0,1.0,1.0,1980-08-09,1.0,583.0
4011,1.0,1.0,1.0,1980-04-26,0.0,522.0
818,2.0,1.0,2.0,1979-11-02,1.0,629.0
1157,1.0,2.0,1.0,1980-01-08,0.0,495.3333333333333
1855,1.0,1.0,2.0,1980-03-05,1.0,615.6666666666666
3581,2.0,2.0,1.0,1980-09-04,1.0,571.0
1952,1.0,1.0,1.0,1980-04-11,1.0,564.6666666666666
1152,1.0,1.0,2.0,1980-01-19,1.0,627.0
2654,1.0,2.0,1.0,1980-06-25,1.0,495.3333333333333
1296,2.0,1.0,2.0,1980-01-13,0.0,566.0
14,2.0,1.0,2.0,1978-11-24,0.0,635.3333333333334
683,1.0,1.0,2.0,1979-10-04,0.0,541.6666666666666
4127,2.0,2.0,1.0,1980-03-30,0.0,541.3333333333334
3271,1.0,2.0,,1979-06-24,0.0,468.3333333333333
1633,2.0,1.0,1.0,1980-02-18,0.0,575.0
992,2.0,2.0,1.0,1979-09-06,0.0,492.0
2979,1.0,1.0,2.0,1980-09-14,1.0,627.6666666666666
2082,1.0,1.0,1.0,1980-04-10,1.0,469.3333333333333
570,1.0,1.0,1.0,1979-09-06,0.0,561.0
3060,1.0,2.0,1.0,1980-04-30,0.0,475.3333333333333
2510,1.0,1.0,2.0,1980-07-21,0.0,518.3333333333334
3121,2.0,1.0,1.0,1980-01-06,1.0,590.0
2204,1.0,1.0,2.0,1980-05-11,1.0,586.3333333333334
2090,2.0,1.0,2.0,1980-04-14,1.0,595.0
3011,2.0,1.0,2.0,1980-09-18,0.0,523.6666666666666
308,2.0,1.0,1.0,1979-02-27,0.0,505.3333333333333
3503,1.0,2.0,1.0,1979-07-30,0.0,551.6666666666666
1853,2.0,1.0,1.0,1980-03-13,1.0,561.0
1926,1.0,2.0,1.0,1980-03-19,0.0,538.6666666666666
2751,2.0,1.0,2.0,1980-08-09,1.0,530.3333333333334
2360,2.0,1.0,2.0,1980-06-19,0.0,548.6666666666666
587,1.0,1.0,2.0,1979-09-17,0.0,559.6666666666666
417,2.0,1.0,1.0,1979-09-28,0.0,515.0
3593,2.0,2.0,1.0,1980-01-11,1.0,499.0
2711,2.0,1.0,2.0,1980-08-22,1.0,539.6666666666666
798,1.0,1.0,2.0,1979-11-29,1.0,517.3333333333334
1230,2.0,1.0,1.0,1980-01-11,1.0,559.0
3131,1.0,1.0,2.0,1980-07-10,1.0,453.3333333333333
2766,1.0,1.0,,1980-08-02,1.0,524.0
3869,2.0,1.0,1.0,1980-08-06,0.0,504.0
408,1.0,1.0,2.0,1979-04-16,0.0,487.6666666666667
1524,1.0,1.0,1.0,1980-02-06,0.0,491.3333333333333
965,2.0,1.0,1.0,1979-12-28,0.0,597.6666666666666
1166,1.0,2.0,1.0,1980-01-12,1.0,483.6666666666667
2333,2.0,1.0,2.0,1980-06-21,0.0,523.6666666666666
2087,1.0,1.0,2.0,1980-04-04,0.0,606.6666666666666
178,1.0,2.0,1.0,1978-09-14,0.0,519.0
2907,1.0,1.0,1.0,1980-09-03,1.0,527.0
748,2.0,1.0,1.0,1979-11-20,0.0,504.6666666666667
3059,1.0,2.0,1.0,1980-04-16,1.0,531.6666666666666
1251,2.0,2.0,1.0,1980-02-16,1.0,465.0
2684,1.0,1.0,1.0,1980-08-29,1.0,613.0
1817,1.0,1.0,2.0,1980-03-09,1.0,610.0
1900,2.0,1.0,2.0,1980-03-31,0.0,510.3333333333333
597,1.0,1.0,2.0,1979-09-05,0.0,475.0
1667,1.0,2.0,1.0,1980-07-25,0.0,528.6666666666666
3692,2.0,1.0,1.0,1980-04-09,1.0,521.0
750,1.0,1.0,1.0,1979-10-14,0.0,496.6666666666667
3849,2.0,1.0,2.0,1980-03-23,0.0,588.0
674,1.0,1.0,2.0,1979-09-23,1.0,545.6666666666666
2773,1.0,1.0,2.0,1980-07-29,0.0,543.3333333333334
899,1.0,1.0,1.0,1979-12-14,0.0,558.6666666666666
1258,2.0,1.0,2.0,1980-01-04,1.0,582.3333333333334
4156,1.0,1.0,2.0,1980-09-05,1.0,491.3333333333333
1639,2.0,1.0,2.0,1980-01-23,0.0,543.3333333333334
1514,1.0,2.0,1.0,1980-05-18,1.0,511.3333333333333
2736,1.0,2.0,1.0,1980-08-20,0.0,455.0
1693,1.0,2.0,1.0,1980-07-29,0.0,480.0
171,1.0,2.0,1.0,1978-07-12,0.0,545.6666666666666
3833,2.0,1.0,1.0,1979-11-07,1.0,584.6666666666666
3096,2.0,2.0,1.0,1980-05-18,0.0,497.3333333333333
2948,1.0,1.0,2.0,1980-09-19,1.0,588.0
2118,2.0,2.0,1.0,1980-02-04,0.0,480.0
3772,1.0,2.0,1.0,1978-10-02,0.0,464.6666666666667
1330,1.0,1.0,2.0,1980-01-07,0.0,493.0
3963,2.0,2.0,1.0,1979-08-05,0.0,530.0
1441,2.0,2.0,1.0,1980-04-13,1.0,517.3333333333334
1321,2.0,1.0,2.0,1980-01-22,0.0,562.0
3672,1.0,1.0,1.0,1979-08-31,0.0,536.3333333333334
2929,2.0,1.0,1.0,1980-09-16,0.0,521.6666666666666
3818,1.0,1.0,2.0,1979-07-30,1.0,613.3333333333334
2753,1.0,1.0,,1980-08-17,1.0,568.3333333333334
416,2.0,2.0,1.0,1979-12-26,0.0,519.0
1086,1.0,1.0,,1979-08-21,1.0,531.0
3856,2.0,1.0,2.0,1980-07-01,1.0,527.6666666666666
3351,2.0,1.0,2.0,1980-05-20,1.0,590.6666666666666
268,1.0,1.0,2.0,1979-03-29,0.0,533.0
2105,2.0,2.0,1.0,1980-04-12,0.0,514.3333333333334
3384,1.0,2.0,1.0,1980-07-07,1.0,557.6666666666666
150,2.0,1.0,1.0,1980-06-30,0.0,511.6666666666667
797,1.0,1.0,2.0,1979-11-28,1.0,523.0
533,2.0,1.0,2.0,1979-07-22,1.0,534.0
177,2.0,2.0,1.0,1978-09-06,0.0,485.6666666666667
2726,2.0,1.0,1.0,1980-08-23,0.0,572.0
2185,2.0,1.0,2.0,1980-05-03,1.0,572.6666666666666
4068,2.0,1.0,1.0,1979-12-03,1.0,632.0
2175,2.0,1.0,2.0,1980-05-20,0.0,591.6666666666666
70,1.0,1.0,1.0,1980-01-15,1.0,544.3333333333334
1367,1.0,2.0,1.0,1980-03-02,0.0,488.3333333333333
318,2.0,2.0,1.0,1979-06-21,0.0,467.6666666666667
536,2.0,1.0,2.0,1979-08-30,0.0,459.6666666666667
1630,2.0,1.0,2.0,1980-02-26,1.0,571.3333333333334
1509,2.0,1.0,2.0,1980-02-08,0.0,577.3333333333334
2859,1.0,1.0,,1980-09-27,0.0,477.6666666666667
2584,2.0,1.0,1.0,1980-08-23,1.0,533.6666666666666
1632,1.0,2.0,1.0,1980-07-02,1.0,470.3333333333333
458,1.0,1.0,2.0,1979-05-10,0.0,540.3333333333334
3522,2.0,2.0,1.0,1980-07-28,1.0,572.3333333333334
1301,1.0,1.0,2.0,1980-01-02,0.0,552.0
3693,2.0,1.0,2.0,1980-01-24,1.0,569.3333333333334
2832,1.0,1.0,2.0,1980-08-02,0.0,570.0
897,2.0,1.0,2.0,1979-12-16,0.0,520.6666666666666
2091,1.0,1.0,2.0,1980-03-05,1.0,579.0
2582,2.0,1.0,2.0,1980-07-04,0.0,507.0
1087,1.0,1.0,2.0,1979-12-12,1.0,542.0
1104,2.0,2.0,1.0,1979-12-28,0.0,536.6666666666666
1081,1.0,1.0,2.0,1979-04-22,1.0,514.3333333333334
